Time,Value
"Aug, 1919",$327.17
"Jul, 1919",$332.80
"Jun, 1919",$342.65
"May, 1919",$342.65
"Apr, 1919",$346.76
"Mar, 1919",$353.11
"Feb, 1919",$357.46
"Jan, 1919",$350.97
"Dec, 1918",$347.64
"Nov, 1918",$351.90
"Oct, 1918",$358.49
"Sep, 1918",$365.35
"Jul, 1918",$379.86
"Jun, 1918",$390.19
"May, 1918",$395.59
"Apr, 1918",$403.94
"Mar, 1918",$409.72
"Feb, 1918",$406.80
"Jan, 1918",$409.72
"Dec, 1917",$414.88
"Nov, 1917",$421.02
"Oct, 1917",$421.02
"Sep, 1917",$427.37
"Aug, 1917",$437.22
"Jul, 1917",$444.06
"Jun, 1917",$437.22
"Apr, 1917",$451.10
"Mar, 1917",$473.65
"Feb, 1917",$473.65
"Jan, 1917",$485.80
"Dec, 1916",$485.25
"Nov, 1916",$489.48
"Oct, 1916",$498.14
"Sep, 1916",$507.12
"Aug, 1916",$516.42
"Jul, 1916",$521.19
"Jun, 1916",$521.19
"May, 1916",$526.08
"Apr, 1916",$531.02
"Feb, 1916",$541.25
"Jan, 1916",$541.25
"Dec, 1915",$540.33
"Nov, 1915",$540.33
"Oct, 1915",$545.62
"Sep, 1915",$551.03
"Aug, 1915",$551.03
"Jul, 1915",$551.03
"Jun, 1915",$551.03
"May, 1915",$551.03
"Apr, 1915",$556.54
"Mar, 1915",$562.16
"Feb, 1915",$556.54
"Jun, 1965",$323.05
"Jul, 1965",$323.05
"Aug, 1965",$323.05
"Oct, 1965",$322.03
"Nov, 1965",$322.03
"Dec, 1965",$321.00
"Jan, 1966",$321.00
"Feb, 1966",$319.03
"Mar, 1966",$318.04
"Apr, 1966",$316.06
"May, 1966",$316.06
"Jun, 1966",$315.07
"Jul, 1966",$314.12
"Aug, 1966",$312.18
"Sep, 1966",$312.18
"Oct, 1966",$310.30
"Dec, 1966",$310.30
"Jan, 1967",$310.30
"Feb, 1967",$310.30
"Mar, 1967",$309.35
"Apr, 1967",$308.40
"May, 1967",$307.48
"Jun, 1967",$306.56
"Jul, 1967",$305.64
"Aug, 1967",$304.73
"Sep, 1967",$303.81
"Oct, 1967",$302.92
"Nov, 1967",$302.04
"Dec, 1967",$301.12
"Jan, 1968",$341.75
"Mar, 1968",$339.77
"Apr, 1968",$338.77
"May, 1968",$337.80
"Jun, 1968",$335.86
"Jul, 1968",$333.93
"Aug, 1968",$332.96
"Sep, 1968",$332.03
"Oct, 1968",$330.14
"Nov, 1968",$329.21
"Dec, 1968",$328.28
"Jan, 1969",$340.11
"Feb, 1969",$338.22
"Mar, 1969",$335.42
"May, 1969",$332.65
"Jun, 1969",$330.81
"Jul, 1969",$329.01
"Aug, 1969",$327.25
"Sep, 1969",$326.37
"Oct, 1969",$324.61
"Nov, 1969",$322.89
"Dec, 1969",$321.18
"Jan, 1970",$279.61
"Feb, 1970",$278.15
"Mar, 1970",$276.69
"Apr, 1970",$274.53
"May, 1970",$273.83
"Jun, 1970",$272.41
"Aug, 1970",$271.02
"Sep, 1970",$269.63
"Oct, 1970",$268.28
"Nov, 1970",$266.92
"Dec, 1970",$265.57
"Jan, 1971",$275.16
"Feb, 1971",$280.71
"Mar, 1971",$280.95
"Apr, 1971",$281.26
"May, 1971",$290.69
"Jun, 1971",$285.55
"Jul, 1971",$290.87
"Aug, 1971",$302.64
"Oct, 1971",$300.43
"Nov, 1971",$302.98
"Dec, 1971",$305.84
"Jan, 1972",$321.81
"Feb, 1972",$337.82
"Mar, 1972",$337.49
"Apr, 1972",$341.54
"May, 1972",$379.61
"Jun, 1972",$430.47
"Jul, 1972",$453.05
"Aug, 1972",$461.43
"Sep, 1972",$449.51
"Oct, 1972",$443.32
"Nov, 1972",$428.98
"Jan, 1973",$442.11
"Feb, 1973",$500.03
"Mar, 1973",$563.94
"Apr, 1973",$600.17
"May, 1973",$675.46
"Jun, 1973",$786.23
"Jul, 1973",$782.60
"Aug, 1973",$683.18
"Sep, 1973",$656.68
"Oct, 1973",$634.51
"Nov, 1973",$599.79
"Dec, 1973",$668.04
"Jan, 1974",$803.48
"Mar, 1974","$1,019.57"
"Apr, 1974","$1,036.68"
"May, 1974",$969.39
"Jun, 1974",$907.36
"Jul, 1974",$842.63
"Aug, 1974",$893.26
"Sep, 1974",$865.21
"Oct, 1974",$899.51
"Nov, 1974","$1,024.56"
"Dec, 1974","$1,023.50"
"Jan, 1975",$979.51
"Feb, 1975",$989.77
"Mar, 1975",$976.73
"May, 1975",$908.95
"Jun, 1975",$886.56
"Jul, 1975",$881.02
"Aug, 1975",$866.21
"Sep, 1975",$761.58
"Oct, 1975",$751.72
"Nov, 1975",$743.84
"Dec, 1975",$725.67
"Jan, 1976",$682.50
"Feb, 1976",$679.44
"Mar, 1976",$685.34
"Apr, 1976",$659.17
"May, 1976",$649.30
"Jun, 1976",$639.41
"Aug, 1976",$552.96
"Sep, 1976",$574.07
"Oct, 1976",$579.99
"Nov, 1976",$651.24
"Dec, 1976",$665.46
"Jan, 1977",$653.33
"Feb, 1977",$667.86
"Mar, 1977",$720.98
"Apr, 1977",$718.70
"May, 1977",$702.47
"Jun, 1977",$670.39
"Jul, 1977",$679.71
"Aug, 1977",$684.89
"Sep, 1977",$705.17
"Nov, 1977",$756.94
"Dec, 1977",$746.50
"Jan, 1978",$801.92
"Feb, 1978",$819.51
"Mar, 1978",$837.58
"Apr, 1978",$790.34
"May, 1978",$791.70
"Jun, 1978",$814.79
"Jul, 1978",$832.70
"Aug, 1978",$903.90
"Sep, 1978",$923.04
"Oct, 1978",$980.86
"Nov, 1978",$880.66
"Jan, 1979",$962.29
"Feb, 1979","$1,029.93"
"Mar, 1979","$1,001.70"
"Apr, 1979",$980.18
"May, 1979","$1,044.19"
"Jun, 1979","$1,116.68"
"Jul, 1979","$1,166.17"
"Aug, 1979","$1,181.17"
"Sep, 1979","$1,384.96"
"Oct, 1979","$1,502.90"
"Nov, 1979","$1,497.47"
"Dec, 1979","$1,718.36"
"Jan, 1980","$2,519.34"
"Feb, 1980","$2,434.00"
"Apr, 1980","$1,844.89"
"May, 1980","$1,822.17"
"Jun, 1980","$2,108.30"
"Jul, 1980","$2,249.54"
"Aug, 1980","$2,177.43"
"Sep, 1980","$2,322.80"
"Oct, 1980","$2,250.79"
"Nov, 1980","$2,107.48"
"Dec, 1980","$1,989.36"
"Jan, 1981","$1,847.02"
"Feb, 1981","$1,641.41"
"Mar, 1981","$1,633.08"
"Apr, 1981","$1,606.70"
"Jun, 1981","$1,465.79"
"Jul, 1981","$1,289.57"
"Aug, 1981","$1,286.97"
"Sep, 1981","$1,377.60"
"Oct, 1981","$1,354.37"
"Nov, 1981","$1,273.21"
"Dec, 1981","$1,262.08"
"Jan, 1982","$1,177.19"
"Feb, 1982","$1,141.94"
"Mar, 1982","$1,007.97"
"Apr, 1982","$1,068.11"
"May, 1982","$1,005.63"
"Jun, 1982",$938.39
"Aug, 1982","$1,081.54"
"Sep, 1982","$1,291.17"
"Oct, 1982","$1,244.52"
"Nov, 1982","$1,224.87"
"Dec, 1982","$1,316.31"
"Jan, 1983","$1,427.04"
"Feb, 1983","$1,443.28"
"Mar, 1983","$1,240.08"
